nct_id,drug,trial_name,measure,arm,meddra_pt,meddra_soc,n_affected,n_at_risk,pct
NCT00267969,Ustekinumab,PHOENIX1,serious_adverse_event_rate,Placebo (CP),,,2,255,0.8
NCT00267969,Ustekinumab,PHOENIX1,serious_adverse_event_rate,Ustekinumab 45 mg (CP),,,2,255,0.8
NCT00267969,Ustekinumab,PHOENIX1,serious_adverse_event_rate,Ustekinumab 90 mg (CP),,,4,255,1.6
NCT00267969,Ustekinumab,PHOENIX1,serious_adverse_event_rate,Placebo -> Ustekinumab 45 mg (After CP),,,20,123,16.3
NCT00267969,Ustekinumab,PHOENIX1,serious_adverse_event_rate,Placebo -> Ustekinumab 90 mg (After CP),,,18,120,15.0
NCT00267969,Ustekinumab,PHOENIX1,serious_adverse_event_rate,Ustekinumab 45 mg (After CP),,,38,255,14.9
NCT00267969,Ustekinumab,PHOENIX1,serious_adverse_event_rate,Ustekinumab 90 mg (After CP),,,33,251,13.1
NCT00267969,Ustekinumab,PHOENIX1,discontinuation_due_to_ae_rate,Placebo (CP),,,6,255,2.4
NCT00267969,Ustekinumab,PHOENIX1,discontinuation_due_to_ae_rate,Ustekinumab 45 mg (CP),,,0,255,0.0
NCT00267969,Ustekinumab,PHOENIX1,discontinuation_due_to_ae_rate,Ustekinumab 90 mg (CP),,,2,256,0.8
NCT00267969,Ustekinumab,PHOENIX1,discontinuation_due_to_ae_rate,Placebo -> Ustekinumab 45 mg (After CP),,,0,0,
NCT00267969,Ustekinumab,PHOENIX1,discontinuation_due_to_ae_rate,Placebo -> Ustekinumab 90 mg (After CP),,,0,0,
NCT00267969,Ustekinumab,PHOENIX1,discontinuation_due_to_ae_rate,Ustekinumab 45 mg (After CP),,,0,0,
NCT00267969,Ustekinumab,PHOENIX1,discontinuation_due_to_ae_rate,Ustekinumab 90 mg (After CP),,,0,0,
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Nasopharyngitis,Infections and infestations,22,255,8.6
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Nasopharyngitis,Infections and infestations,26,255,10.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Nasopharyngitis,Infections and infestations,21,255,8.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Nasopharyngitis,Infections and infestations,47,123,38.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Nasopharyngitis,Infections and infestations,36,120,30.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Nasopharyngitis,Infections and infestations,70,255,27.5
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Nasopharyngitis,Infections and infestations,75,251,29.9
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Upper respiratory tract infection,Infections and infestations,16,255,6.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Upper respiratory tract infection,Infections and infestations,18,255,7.1
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Upper respiratory tract infection,Infections and infestations,16,255,6.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Upper respiratory tract infection,Infections and infestations,43,123,35.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Upper respiratory tract infection,Infections and infestations,34,120,28.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Upper respiratory tract infection,Infections and infestations,82,255,32.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Upper respiratory tract infection,Infections and infestations,77,251,30.7
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Upper respiratory tract infection,Infections and infestations,16,255,6.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Upper respiratory tract infection,Infections and infestations,18,255,7.1
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Upper respiratory tract infection,Infections and infestations,16,255,6.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Upper respiratory tract infection,Infections and infestations,43,123,35.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Upper respiratory tract infection,Infections and infestations,34,120,28.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Upper respiratory tract infection,Infections and infestations,82,255,32.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Upper respiratory tract infection,Infections and infestations,77,251,30.7
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Arthralgia,Musculoskeletal and connective tissue disorders,7,255,2.7
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Arthralgia,Musculoskeletal and connective tissue disorders,7,255,2.7
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Arthralgia,Musculoskeletal and connective tissue disorders,6,255,2.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Arthralgia,Musculoskeletal and connective tissue disorders,20,123,16.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Arthralgia,Musculoskeletal and connective tissue disorders,13,120,10.8
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Arthralgia,Musculoskeletal and connective tissue disorders,31,255,12.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Arthralgia,Musculoskeletal and connective tissue disorders,33,251,13.1
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Back pain,Musculoskeletal and connective tissue disorders,1,255,0.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Back pain,Musculoskeletal and connective tissue disorders,6,255,2.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Back pain,Musculoskeletal and connective tissue disorders,7,255,2.7
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Back pain,Musculoskeletal and connective tissue disorders,13,123,10.6
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Back pain,Musculoskeletal and connective tissue disorders,18,120,15.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Back pain,Musculoskeletal and connective tissue disorders,23,255,9.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Back pain,Musculoskeletal and connective tissue disorders,27,251,10.8
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Sinusitis,Infections and infestations,6,255,2.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Sinusitis,Infections and infestations,6,255,2.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Sinusitis,Infections and infestations,4,255,1.6
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Sinusitis,Infections and infestations,15,123,12.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Sinusitis,Infections and infestations,14,120,11.7
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Sinusitis,Infections and infestations,37,255,14.5
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Sinusitis,Infections and infestations,31,251,12.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Hypertension,Vascular disorders,4,255,1.6
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Hypertension,Vascular disorders,5,255,2.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Hypertension,Vascular disorders,3,255,1.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Hypertension,Vascular disorders,14,123,11.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Hypertension,Vascular disorders,17,120,14.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Hypertension,Vascular disorders,21,255,8.2
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Hypertension,Vascular disorders,30,251,12.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo (CP),Bronchitis,Infections and infestations,0,255,0.0
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (CP),Bronchitis,Infections and infestations,2,255,0.8
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (CP),Bronchitis,Infections and infestations,1,255,0.4
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 45 mg (After CP),Bronchitis,Infections and infestations,11,123,8.9
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Placebo -> Ustekinumab 90 mg (After CP),Bronchitis,Infections and infestations,16,120,13.3
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 45 mg (After CP),Bronchitis,Infections and infestations,25,255,9.8
NCT00267969,Ustekinumab,PHOENIX1,most_common_adverse_events,Ustekinumab 90 mg (After CP),Bronchitis,Infections and infestations,29,251,11.6
NCT00307437,Ustekinumab,,serious_adverse_event_rate,Placebo (CP),,,8,410,2.0
NCT00307437,Ustekinumab,,serious_adverse_event_rate,Ustekinumab 45 mg (CP),,,8,409,2.0
