nct_id,drug,trial_name,endpoint_rank,endpoint_position,endpoint_verbatim_sha1,arm_id,timepoint,analysis_population,study_period,denominator,value_type,reported_value,reported_unit,responders,response_rate_pct,rate_is_derived,dispersion_type,dispersion_value,ci_pct,ci_lower,ci_upper,ctgov_class_title
NCT00267969,Ustekinumab,PHOENIX1,primary,1,e69e19ca7e53d6b2fa4abf513b252061a7866603,OG000#full_analysis_set,12w,full_analysis_set,,255,count_of_participants,8.0,Participants,8,3.1,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,primary,1,e69e19ca7e53d6b2fa4abf513b252061a7866603,OG001#full_analysis_set,12w,full_analysis_set,,255,count_of_participants,171.0,Participants,171,67.1,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,primary,1,e69e19ca7e53d6b2fa4abf513b252061a7866603,OG002#full_analysis_set,12w,full_analysis_set,,256,count_of_participants,170.0,Participants,170,66.4,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,1,7fc2916aa8ae0520e6be8910be43516eebfe0d15,OG000#full_analysis_set,12w,full_analysis_set,,255,count_of_participants,10.0,participants,10,3.9,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,1,7fc2916aa8ae0520e6be8910be43516eebfe0d15,OG001#full_analysis_set,12w,full_analysis_set,,255,count_of_participants,151.0,participants,151,59.2,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,1,7fc2916aa8ae0520e6be8910be43516eebfe0d15,OG002#full_analysis_set,12w,full_analysis_set,,256,count_of_participants,156.0,participants,156,60.9,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,2,31f5eb6c168fe0bcf3d0667a76bddacd81273cb7,OG000#full_analysis_set,12w,,,252,median,0.0,Scores on a scale,,,False,inter_quartile_range,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,2,31f5eb6c168fe0bcf3d0667a76bddacd81273cb7,OG001#full_analysis_set,12w,,,254,median,-6.0,Scores on a scale,,,False,inter_quartile_range,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,2,31f5eb6c168fe0bcf3d0667a76bddacd81273cb7,OG002#full_analysis_set,12w,,,249,median,-7.0,Scores on a scale,,,False,inter_quartile_range,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,OG000#2,52w,,,73,count_of_participants,47.0,participants,47,64.4,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,OG001#2,52w,,,77,count_of_participants,67.0,participants,67,87.0,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,OG002#2,52w,,,86,count_of_participants,53.0,participants,53,61.6,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,OG003,52w,,,85,count_of_participants,77.0,participants,77,90.6,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,OG004,52w,,,159,count_of_participants,100.0,participants,100,62.9,True,,,,,,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,OG005,52w,,,162,count_of_participants,144.0,participants,144,88.9,True,,,,,,
NCT00307437,Ustekinumab,,primary,1,8f0d24f34589e257bb26a9906a3bc4d9d679c9b0,OG000#full_analysis_set,12w,full_analysis_set,,410,count_of_participants,15.0,Participants,15,3.7,True,,,,,,
NCT00307437,Ustekinumab,,primary,1,8f0d24f34589e257bb26a9906a3bc4d9d679c9b0,OG001#full_analysis_set,12w,full_analysis_set,,409,count_of_participants,273.0,Participants,273,66.7,True,,,,,,
NCT00307437,Ustekinumab,,primary,1,8f0d24f34589e257bb26a9906a3bc4d9d679c9b0,OG002#full_analysis_set,12w,full_analysis_set,,411,count_of_participants,311.0,Participants,311,75.7,True,,,,,,
NCT00307437,Ustekinumab,,secondary,1,039c3b912af434418ba7c1bee8b8ec324219edf9,OG000#full_analysis_set,12w,full_analysis_set,,410,count_of_participants,18.0,Participants,18,4.4,True,,,,,,
NCT00307437,Ustekinumab,,secondary,1,039c3b912af434418ba7c1bee8b8ec324219edf9,OG001#full_analysis_set,12w,full_analysis_set,,409,count_of_participants,277.0,Participants,277,67.7,True,,,,,,
NCT00307437,Ustekinumab,,secondary,1,039c3b912af434418ba7c1bee8b8ec324219edf9,OG002#full_analysis_set,12w,full_analysis_set,,411,count_of_participants,300.0,Participants,300,73.0,True,,,,,,
NCT00307437,Ustekinumab,,secondary,2,c12371955872caab66c6fedee2e102c1430b1c33,OG000#full_analysis_set,12w,,,400,median,-0.5,Units on a scale,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,2,c12371955872caab66c6fedee2e102c1430b1c33,OG001#full_analysis_set,12w,,,401,median,-8.0,Units on a scale,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,2,c12371955872caab66c6fedee2e102c1430b1c33,OG002#full_analysis_set,12w,,,402,median,-9.0,Units on a scale,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,3,81d87574213d86810e76eacf0a672dd71fc7bef0,OG000#2,40w,,,45,median,0.0,Participants,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,3,81d87574213d86810e76eacf0a672dd71fc7bef0,OG001#2,40w,,,48,median,1.0,Participants,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,3,81d87574213d86810e76eacf0a672dd71fc7bef0,OG002#2,40w,,,32,median,3.0,Participants,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,3,81d87574213d86810e76eacf0a672dd71fc7bef0,OG003,40w,,,33,median,1.0,Participants,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,3,81d87574213d86810e76eacf0a672dd71fc7bef0,OG004,40w,,,77,median,2.0,Participants,,,False,inter_quartile_range,,,,,
NCT00307437,Ustekinumab,,secondary,3,81d87574213d86810e76eacf0a672dd71fc7bef0,OG005,40w,,,81,median,1.0,Participants,,,False,inter_quartile_range,,,,,
NCT00979745,Afamelanotide,,primary,1,be924d4c0226c627e3cbbaa88587ffe259fa55a6,OG000,270d,,,38,median,6.0,Hours,,,False,full_range,,,,,
