drug,field,source_type,source_url,source_excerpt,extracted_by,reviewed_by,confidence
Abametapir,mechanism_of_action,openfda_label,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/206966lbl.pdf,"Section 12.1 Mechanism of Action: 'Abametapir (5,5'-dimethyl 2,2'-bipyridinyl) is a metalloproteinase inhibitor. Metalloproteinases have a role in physiological processes critical to egg development and survival of lice.'","manual label read (original approval-package label PDF, cycle-17 pass)",,1.0
Abametapir,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.brand_name:XEGLYZE&limit=1,"openFDA drug/label.json has no indexed entry for XEGLYZE/ABAMETAPIR under brand_name, generic_name, or application_number (NDA206966) -- XEGLYZE is a market-discontinued brand, same as Kerydin/Xepi/Eskata's precedent. Confirmed no boxed warning instead by reading the original FDA-approved label PDF directly (accessdata.fda.gov/drugsatfda_docs/label/2020/206966lbl.pdf, Reference ID 4645747): Section 4 Contraindications = 'None', no boxed warning section present (Section 5 Warnings and Precautions covers benzyl-alcohol toxicity risk only, not a boxed warning).","manual label read (original approval-package label PDF, cycle-17 pass)",,1.0
Abametapir,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ABAMETAPIR""&limit=1","openFDA drug/event.json returns a genuine NOT_FOUND for both the generic term ABAMETAPIR and the brand XEGLYZE -- confirmed real zero (not a search-term miss, per the established brand-name-retry rule) by trying both terms; no FAERS reports exist for this low-volume, market-discontinued single-application topical pediculicide.","fetch_faers.py (openfda drug/event.json, cycle-17 pass)",,1.0
Abametapir,drug_characterization,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ABAMETAPIR""","Computed by pulling every individual FAERS report matching this drug's own search_term (ABAMETAPIR) and tallying each report's drugcharacterization code (1=suspect, 2=concomitant, 3=interacting) from ONLY the drug-array entries whose medicinalproduct matches this drug (not co-listed drugs in the same report) -- a plain count= aggregate query cannot do this correctly (openFDA's flattened array indexing mixes in co-listed drugs' own characterization values). 0/0 reports matched.","fetch_faers_characterization.py (per-report drugcharacterization backfill, cycle-22/23 pass)",,1.0
Abametapir,purple_book,needs_extraction,,,,,
Abametapir,applications[206966].regulatory_application,orange_book,https://api.fda.gov/drug/orangebook.json,"openfda orangebook.json: application_number N206966, brand_name XEGLYZE, applicant_full_name LNHC INC, approval_date 2020-07-24",atlas.regulatory_applications (registry file fetched 2026-09-05),,1.0
Abametapir,applications[206966].orange_book,orange_book,https://api.fda.gov/drug/orangebook.json?search=products.active_ingredients.name%3A%22ABAMETAPIR%22&limit=100,"openFDA drug/orangebook.json, 1 product row matched on products.active_ingredients.name='ABAMETAPIR' -- no ingredient-name collision (unlike Ruxolitinib/Roflumilast/Ivermectin/Glycopyrronium).","fetch_orange_book.py (openfda drug/orangebook.json, cycle-17 pass)",,1.0
Abrocitinib,mechanism_of_action,openfda_label,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=90d59085-1778-447d-b10a-cede44616558,"openFDA drug/label mechanism_of_action (FDA-approved label, section 12.1) -- v1 extracted text: 12.1 Mechanism of Action CIBINQO is a Janus kinase (JAK) inhibitor. Abrocitinib reversibly inhibits JAK1 by blocking the adenosine triphosphate (ATP) binding site. In a cell-free isolated enzyme assay, abrocitinib was selective for JAK1 over JAK2 (28-fold), JAK3 (>340-fold), and tyrosine kinase (TYK) 2 (43-fold), as well as the broader kinome. The relevance of inhibition of specific JAK enzymes to therapeutic effectiveness is not currently known. Both the parent compound and the active metabolites inhibit JAK1 activity in vitro with similar levels of selectivity.","enrich_needs_extraction.py (LLM-assisted extraction, v1 pass; pending human QA); structured by atlas.migrate v1->v2",,0.9
Abrocitinib,boxed_warning,openfda_label,https://api.fda.gov/drug/label.json?search=openfda.substance_name:ABROCITINIB&limit=1,"results[0].boxed_warning -- v1 extracted text: WARNING: SERIOUS INFECTIONS, MORTALITY, MALIGNANCY, MAJOR ADVERSE CARDIOVASCULAR EVENTS, and THROMBOSIS WARNING: SERIOUS INFECTIONS, MORTALITY, MALIGNANCY, MAJOR ADVERSE CARDIOVASCULAR EVENTS (MACE), and THROMBOSIS See full prescribing information for complete boxed warning. • Increased risk of serious bacterial, fungal, viral and opportunistic infections leading to hospitalization or death, including tuberculosis (TB). Discontinue treatment with CIBINQO if serious or opportunistic infection occurs. Test for latent TB before and during therapy; treat latent TB prior to use. Monitor all patients for active TB during treatment, even patients with initial negative latent TB test. ( 5.1 ) • Higher rate of all-cause mortality, including sudden cardiovascular death, with another JAK inhibitor vs. TNF blockers in rheumatoid arthritis (RA) patients. CIBINQO is not approved for use in RA patients. ( 5.2 ) • Malignancies have occurred with CIBINQO. Higher rate of lymphomas and lung cancers with another JAK inhibitor vs. TNF blockers in RA patients. ( 5.3 ) • MACE has occurred with CIBINQO. Higher rate of MACE (defined as cardiovascular death, myocardial infarction, and stroke) with another JAK inhibitor vs. TNF blockers in RA patients. ( 5.4 ) • Thrombosis has occurred with CIBINQO. Increased incidence of pulmonary embolism, venous and arterial thrombosis with another JAK inhibitor vs. TNF blockers. ( 5.5 ) Serious Infections Patients treated with CIBINQO may be at increased risk for developing serious infections that may lead to hospitalization or death. The most frequent serious infections reported with CIBINQO were herpes simplex, herpes zoster, and pneumonia [see Warnings and Precautions (5.1) and Adverse Reactions (6.1) ] . If a serious or opportunistic infection develops, discontinue CIBINQO and control the infection. Reported infections from Janus kinase (JAK) inhibitors used to treat inflammatory conditions: • Active tuberculosis, which may present with pulmonary or extrapulmonary disease. Test for latent TB before and during therapy; treat latent TB prior to use. Monitor all patients for active TB during treatment, even patients with initial negative latent TB test. • Invasive fungal infections, including cryptococcosis and pneumocystosis. Patients with invasive fungal infections may present with disseminated, rather than localized, disease. • Bacterial, viral, including herpes zoster, and other infections due to opportunistic pathogens. Avoid use of CIBINQO in patients with an active, serious infection including localized infections. The risks and benefits of treatment with CIBINQO should be carefully considered prior to initiating therapy in patients with chronic or recurrent infections. Patients should be closely monitored for the development of signs and symptoms of infection during and after treatment with CIBINQO, including the possible development of tuberculosis in patients who tested negative for latent tuberculosis infection prior to initiating therapy [see Warnings and Precautions (5.1) ] . Mortality In a large, randomized, postmarketing safety study in rheumatoid arthritis (RA) patients 50 years of age and older with at least one cardiovascular risk factor comparing another JAK inhibitor to TNF blocker treatment, a higher rate of all-cause mortality, including sudden cardiovascular death, was observed with the JAK inhibitor. CIBINQO is not approved for use in RA patients [see Warnings and Precautions (5.2) ] . Malignancies Malignancies were reported in patients treated with CIBINQO. Lymphoma and other malignancies have been observed in patients receiving JAK inhibitors used to treat inflammatory conditions. In RA patients treated with another JAK inhibitor, a higher rate of malignancies (excluding non-melanoma skin cancer (NMSC)) was observed when compared with TNF blockers. Patients who are current or past smokers are at additional increased risk [see Warnings and Precautions (5.3) ] . Major Adverse Cardiovascular Events Major adverse cardiovascular events were reported in patients treated with CIBINQO. In RA patients 50 years of age and older with at least one cardiovascular risk factor treated with another JAK inhibitor, a higher rate of major adverse cardiovascular events (MACE) (defined as cardiovascular death, myocardial infarction, and stroke), was observed when compared with TNF blockers. Patients who are current or past smokers are at additional increased risk. Discontinue CIBINQO in patients that have experienced a myocardial infarction or stroke [see Warnings and Precautions (5.4) ] . Thrombosis Deep venous thrombosis (DVT) and pulmonary embolism (PE) have been reported in patients treated with CIBINQO. Thrombosis, including PE, DVT, and arterial thrombosis have been reported in patients receiving JAK inhibitors used to treat inflammatory conditions. Many of these adverse reactions were serious and some resulted in death. In RA patients 50 years of age and older with at least one cardiovascular risk factor treated with another JAK inhibitor, a higher rate of thrombosis was observed when compared with TNF blockers. Avoid CIBINQO in patients at risk. If symptoms of thrombosis occur, discontinue CIBINQO and treat appropriately [see Warnings and Precautions (5.5) ] .","fetch_adverse_events.py (ctgov_api results + openfda_label, v1 AE pass); structured by atlas.migrate v1->v2",,1.0
Abrocitinib,faers_summary,openfda_faers,"https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:""ABROCITINIB""&limit=1","openFDA drug/event.json aggregate: total_reports=422, serious=296, deaths=18","fetch_faers.py (openfda drug/event.json, v2 pass)",,1.0
