nct_id,drug,trial_name,endpoint_rank,endpoint_position,endpoint_verbatim_sha1,timepoint,test_arm_id,reference_arm_id,comparison_kind,effect_type,effect_type_verbatim,effect_value,ci_pct,ci_lower,ci_upper,ci_sides,p_value_comparator,p_value,p_value_verbatim,statistical_method,adjusted_for
NCT00267969,Ustekinumab,PHOENIX1,primary,1,e69e19ca7e53d6b2fa4abf513b252061a7866603,12w,OG000,OG002,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00267969,Ustekinumab,PHOENIX1,primary,1,e69e19ca7e53d6b2fa4abf513b252061a7866603,12w,OG000,OG001,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00267969,Ustekinumab,PHOENIX1,secondary,1,7fc2916aa8ae0520e6be8910be43516eebfe0d15,12w,OG000,OG002,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel(CMH) chi square,
NCT00267969,Ustekinumab,PHOENIX1,secondary,1,7fc2916aa8ae0520e6be8910be43516eebfe0d15,12w,OG000,OG001,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00267969,Ustekinumab,PHOENIX1,secondary,2,31f5eb6c168fe0bcf3d0667a76bddacd81273cb7,12w,OG000,OG002,superiority,,,,95.0,,,,<,0.001,<0.001,ANOVA on van der Waerden normal scores,
NCT00267969,Ustekinumab,PHOENIX1,secondary,2,31f5eb6c168fe0bcf3d0667a76bddacd81273cb7,12w,OG000,OG001,superiority,,,,95.0,,,,<,0.001,<0.001,ANOVA on van der Waerden normal scores,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,52w,OG004,OG005,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,52w,OG002,OG003,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00267969,Ustekinumab,PHOENIX1,secondary,3,2bc6f2c8b840b322c099309737e68ad43bd2bac0,52w,OG000,OG001,superiority,,,,95.0,,,,=,0.001,0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00307437,Ustekinumab,,primary,1,8f0d24f34589e257bb26a9906a3bc4d9d679c9b0,12w,OG000,OG002,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00307437,Ustekinumab,,primary,1,8f0d24f34589e257bb26a9906a3bc4d9d679c9b0,12w,OG000,OG001,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
NCT00307437,Ustekinumab,,secondary,1,039c3b912af434418ba7c1bee8b8ec324219edf9,12w,OG000,OG002,superiority,,,,95.0,,,,<,0.001,<0.001,Cochran-Mantel-Haenszel (CMH) chi square,
