nct_id,drug,trial_name,rank,position,measure_type,scale,scale_component,scale_variant,baseline_reference,timepoints,through,analysis_population,subgroup_labels,study_period,event_type,criterion_index,criterion_role,criterion_scale,criterion_scale_component,criterion_scale_variant,criterion_metric,criterion_comparator,criterion_value,criterion_unit,criterion_scale_min,criterion_scale_max,criterion_assessed_at,verbatim
NCT02260986,Dupilumab,CHRONOS,primary,1,responder_rate,IGA,,,baseline,16w,,,,,,1,responder,IGA,,,absolute_score,in,"[0, 1]",score,,,,"Percentage of Participants With Investigator's Global Assessment (IGA) Score of ""0"" or ""1"" and Reduction From Baseline of ≥2 Points at Week 16 (Time frame: Baseline to Week 16)"
NCT02260986,Dupilumab,CHRONOS,primary,1,responder_rate,IGA,,,baseline,16w,,,,,,2,responder,IGA,,,point_reduction_from_baseline,>=,2,points,,,,"Percentage of Participants With Investigator's Global Assessment (IGA) Score of ""0"" or ""1"" and Reduction From Baseline of ≥2 Points at Week 16 (Time frame: Baseline to Week 16)"
NCT02260986,Dupilumab,CHRONOS,secondary,1,responder_rate,EASI,,,baseline,16w,,,,,,1,responder,EASI,,,percent_improvement_from_baseline,>=,75,percent,,,,Percentage of Participants With Eczema Area and Severity Index-75 (EASI-75) (≥75% Improvement From Baseline) at Week 16
NCT02260986,Dupilumab,CHRONOS,secondary,2,responder_rate,Pruritus NRS,,peak_daily_weekly_average,baseline,16w,,,,,,1,responder,Pruritus NRS,,peak_daily_weekly_average,point_reduction_from_baseline,>=,4,points,,,,Percentage of Participants With Improvement (Reduction ≥4 Points) of Weekly Average of Peak Daily Pruritus Numerical Rating Scale (NRS) Score From Baseline to Week 16
NCT02260986,Dupilumab,CHRONOS,secondary,3,responder_rate,Pruritus NRS,,peak_daily_weekly_average,baseline,16w,,,,,,1,responder,Pruritus NRS,,peak_daily_weekly_average,point_reduction_from_baseline,>=,3,points,,,,Percentage of Participants With Improvement (Reduction ≥3 Points) of Weekly Average of Peak Daily Pruritus Numerical Rating Scale (NRS) Score From Baseline to Week 16
NCT02260986,Dupilumab,CHRONOS,secondary,4,responder_rate,IGA,,,baseline,52w,,,,,,1,responder,IGA,,,absolute_score,in,"[0, 1]",score,,,,"Percentage of Participants With Investigator's Global Assessment (IGA) Score of ""0"" or ""1"" and Reduction From Baseline of ≥2 Points at Week 52"
NCT02260986,Dupilumab,CHRONOS,secondary,4,responder_rate,IGA,,,baseline,52w,,,,,,2,responder,IGA,,,point_reduction_from_baseline,>=,2,points,,,,"Percentage of Participants With Investigator's Global Assessment (IGA) Score of ""0"" or ""1"" and Reduction From Baseline of ≥2 Points at Week 52"
NCT02260986,Dupilumab,CHRONOS,secondary,5,responder_rate,EASI,,,baseline,52w,,,,,,1,responder,EASI,,,percent_improvement_from_baseline,>=,75,percent,,,,Percentage of Participants With Eczema Area and Severity Index-75 (EASI-75) (≥75% Improvement From Baseline) at Week 52
NCT02260986,Dupilumab,CHRONOS,secondary,6,percent_change_from_baseline,Pruritus NRS,,peak_daily_weekly_average,baseline,16w,,,,,,0,,,,,,,,,,,,Percent Change From Baseline in Weekly Average of Peak Daily Pruritus Numerical Rating Scale (NRS) Score to Week 16
NCT02260986,Dupilumab,CHRONOS,secondary,7,responder_rate,Pruritus NRS,,peak_daily_weekly_average,baseline,52w,,,,,,1,responder,Pruritus NRS,,peak_daily_weekly_average,point_reduction_from_baseline,>=,4,points,,,,Percentage of Participants With Improvement (Reduction ≥4 Points) of Weekly Average of Peak Daily Pruritus Numerical Rating Scale (NRS) Score From Baseline to Week 52
