nct_id,drug,trial_name,criterion_index,severity_label,basis,scale,scale_component,scale_variant,metric,comparator,value,unit,scale_min,scale_max,assessed_at,scale_anchors
NCT02207231,Guselkumab,VOYAGE 1,1,,eligibility_text,IGA,,,absolute_score,>=,3,score,,,"[""screening"", ""baseline""]",
NCT02207231,Guselkumab,VOYAGE 1,2,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT02207244,Guselkumab,VOYAGE 2,1,,eligibility_text,IGA,,,absolute_score,>=,3,score,,,"[""screening"", ""baseline""]",
NCT02207244,Guselkumab,VOYAGE 2,2,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT02260986,Dupilumab,CHRONOS,1,,cross_reference,EASI,,,absolute_score,>=,16,score,,,"[""screening"", ""baseline""]",
NCT02260986,Dupilumab,CHRONOS,2,,cross_reference,IGA,,,absolute_score,>=,3,score,0,4,"[""screening"", ""baseline""]","[{""score"": 3, ""label"": ""moderate""}, {""score"": 4, ""label"": ""severe""}]"
NCT02260986,Dupilumab,CHRONOS,3,,cross_reference,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT02277743,Dupilumab,SOLO 1,1,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""screening"", ""baseline""]",
NCT02277743,Dupilumab,SOLO 1,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,0,4,"[""screening"", ""baseline""]","[{""score"": 3, ""label"": ""moderate""}, {""score"": 4, ""label"": ""severe""}]"
NCT02277743,Dupilumab,SOLO 1,3,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT02277769,Dupilumab,SOLO 2,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT02684357,Risankizumab,,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT02684370,Risankizumab,,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT02755649,Dupilumab,,1,,eligibility_text,EASI,,,absolute_score,>=,20,score,,,"[""screening"", ""baseline""]",
NCT02755649,Dupilumab,,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,0,4,"[""screening"", ""baseline""]",
NCT02755649,Dupilumab,,3,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT03131648,Tralokinumab,ECZTRA 1,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT03131648,Tralokinumab,ECZTRA 1,2,,eligibility_text,EASI,,,absolute_score,>=,12,score,,,"[""screening""]",
NCT03131648,Tralokinumab,ECZTRA 1,3,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""baseline""]",
NCT03131648,Tralokinumab,ECZTRA 1,4,,eligibility_text,IGA,,,absolute_score,>=,3,score,,,"[""screening"", ""baseline""]",
NCT03160885,Tralokinumab,ECZTRA 2,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT03160885,Tralokinumab,ECZTRA 2,2,,eligibility_text,EASI,,,absolute_score,>=,12,score,,,"[""screening""]",
NCT03160885,Tralokinumab,ECZTRA 2,3,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""baseline""]",
NCT03160885,Tralokinumab,ECZTRA 2,4,,eligibility_text,IGA,,,absolute_score,>=,3,score,,,"[""screening"", ""baseline""]",
NCT03349060,Abrocitinib,JADE Mono-1,1,moderate_to_severe,eligibility_text,,,,disease_duration_years,>=,1,years,,,,
NCT03349060,Abrocitinib,JADE Mono-1,2,moderate_to_severe,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03349060,Abrocitinib,JADE Mono-1,3,moderate_to_severe,eligibility_text,IGA,,,absolute_score,>=,3,score,,,,
NCT03349060,Abrocitinib,JADE Mono-1,4,moderate_to_severe,eligibility_text,EASI,,,absolute_score,>=,16,score,,,,
NCT03349060,Abrocitinib,JADE Mono-1,5,moderate_to_severe,eligibility_text,Pruritus NRS,,,absolute_score,>=,4,score,,,,
NCT03363854,Tralokinumab,,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT03370133,Bimekizumab,BE VIVID,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03370133,Bimekizumab,BE VIVID,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,,,,
NCT03412747,Bimekizumab,BE SURE,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03412747,Bimekizumab,BE SURE,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,,,,
NCT03536884,Bimekizumab,BE RADIANT,1,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03536884,Bimekizumab,BE RADIANT,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,,,,
NCT03568318,Upadacitinib,AD Up,1,moderate_to_severe,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03568318,Upadacitinib,AD Up,2,moderate_to_severe,eligibility_text,EASI,,,absolute_score,>=,16,score,,,,
NCT03568318,Upadacitinib,AD Up,3,moderate_to_severe,eligibility_text,vIGA-AD,,,absolute_score,>=,3,score,,,,
NCT03568318,Upadacitinib,AD Up,4,moderate_to_severe,eligibility_text,Pruritus NRS,,worst_daily_weekly_average,absolute_score,>=,4,score,,,,
NCT03569293,Upadacitinib,Measure Up 1,1,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""screening"", ""baseline""]",
NCT03569293,Upadacitinib,Measure Up 1,2,,eligibility_text,vIGA-AD,,,absolute_score,>=,3,score,,,"[""screening"", ""baseline""]",
NCT03569293,Upadacitinib,Measure Up 1,3,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""screening"", ""baseline""]",
NCT03575871,Abrocitinib,JADE Mono-2,1,moderate_to_severe,eligibility_text,,,,disease_duration_years,>=,1,years,,,,
NCT03575871,Abrocitinib,JADE Mono-2,2,moderate_to_severe,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03575871,Abrocitinib,JADE Mono-2,3,moderate_to_severe,eligibility_text,IGA,,,absolute_score,>=,3,score,,,,
NCT03575871,Abrocitinib,JADE Mono-2,4,moderate_to_severe,eligibility_text,EASI,,,absolute_score,>=,16,score,,,,
NCT03575871,Abrocitinib,JADE Mono-2,5,moderate_to_severe,eligibility_text,Pruritus NRS,,severity,absolute_score,>=,4,score,,,,
NCT03607422,Upadacitinib,,1,moderate_to_severe,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03607422,Upadacitinib,,2,moderate_to_severe,eligibility_text,EASI,,,absolute_score,>=,16,score,,,,
NCT03607422,Upadacitinib,,3,moderate_to_severe,eligibility_text,vIGA-AD,,,absolute_score,>=,3,score,,,,
NCT03607422,Upadacitinib,,4,moderate_to_severe,eligibility_text,Pruritus NRS,,worst_daily_weekly_average,absolute_score,>=,4,score,,,,
NCT03627767,Abrocitinib,,1,moderate_to_severe,eligibility_text,,,,disease_duration_years,>=,1,years,,,,
NCT03627767,Abrocitinib,,2,moderate_to_severe,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03627767,Abrocitinib,,3,moderate_to_severe,eligibility_text,IGA,,,absolute_score,>=,3,score,,,,
NCT03627767,Abrocitinib,,4,moderate_to_severe,eligibility_text,EASI,,,absolute_score,>=,16,score,,,,
NCT03627767,Abrocitinib,,5,moderate_to_severe,eligibility_text,Pruritus NRS,,,absolute_score,>=,4,score,,,,
NCT03720470,Abrocitinib,JADE Compare,1,moderate_to_severe,eligibility_text,,,,disease_duration_years,>=,1,years,,,,
NCT03720470,Abrocitinib,JADE Compare,2,moderate_to_severe,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,,
NCT03720470,Abrocitinib,JADE Compare,3,moderate_to_severe,eligibility_text,IGA,,,absolute_score,>=,3,score,,,,
NCT03720470,Abrocitinib,JADE Compare,4,moderate_to_severe,eligibility_text,EASI,,,absolute_score,>=,16,score,,,,
NCT03720470,Abrocitinib,JADE Compare,5,moderate_to_severe,eligibility_text,Pruritus NRS,,severity,absolute_score,>=,4,score,,,,
NCT03985943,Nemolizumab,,1,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""screening"", ""baseline""]",
NCT03985943,Nemolizumab,,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,0,4,"[""screening"", ""baseline""]",
NCT03989349,Nemolizumab,,1,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""screening"", ""baseline""]",
NCT03989349,Nemolizumab,,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,0,4,"[""screening"", ""baseline""]",
NCT04146363,Lebrikizumab,,1,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""baseline""]",
NCT04146363,Lebrikizumab,,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,0,4,"[""baseline""]",
NCT04146363,Lebrikizumab,,3,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""baseline""]",
NCT04178967,Lebrikizumab,ADvocate2,1,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""baseline""]",
NCT04178967,Lebrikizumab,ADvocate2,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,0,4,"[""baseline""]",
NCT04178967,Lebrikizumab,ADvocate2,3,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""baseline""]",
NCT04250337,Lebrikizumab,ADhere,1,,eligibility_text,EASI,,,absolute_score,>=,16,score,,,"[""baseline""]",
NCT04250337,Lebrikizumab,ADhere,2,,eligibility_text,IGA,,,absolute_score,>=,3,score,0,4,"[""baseline""]",
NCT04250337,Lebrikizumab,ADhere,3,,eligibility_text,BSA,,,percent_bsa,>=,10,percent,,,"[""baseline""]",
