nct_id,field,source_type,source_url,source_excerpt,extracted_by,reviewed_by,confidence
NCT00267969,nct_id,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.identificationModule.nctId,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,identity.trial_name,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.identificationModule.acronym,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,identity.official_title,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.identificationModule.officialTitle,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,identity.sponsor,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.sponsorCollaboratorsModule.leadSponsor.name,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,identity.phase,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.designModule.phases,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,molecule.drug,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.armsInterventionsModule.interventions[].name (curated),"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,molecule.intervention_names,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.armsInterventionsModule.interventions[].name,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,molecule.intervention_type,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.armsInterventionsModule.interventions[].type,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,molecule.mechanism_of_action,needs_extraction,,,,,
NCT00267969,molecule.dosing_regimen,needs_extraction,,,,,
NCT00267969,population.condition,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.conditionsModule.conditions,"fetch_trials.py (ctgov_api v2, v1 pass)",,1.0
NCT00267969,population.min_age_years,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.eligibilityModule.minimumAge,"fetch_trials.py (ctgov_api v2, v1 pass); structured by atlas.migrate v1->v2",,1.0
NCT00267969,population.max_age_years,ctgov_api,https://clinicaltrials.gov/api/v2/studies/NCT00267969,protocolSection.eligibilityModule.maximumAge,"fetch_trials.py (ctgov_api v2, v1 pass); structured by atlas.migrate v1->v2",,0.0
